Player,Pos,TRB,AST,PTS
Keita Bates-Diop,SF,2.5,0.5,4.7
Wesley Iwundu,SF,2.8,1,4.7
Alfonzo McKinnie,SF,3.5,0.4,4.7
Devin Robinson,SF,1.8,0.5,4.8
Jalen Jones,SF,2.1,0.4,5.1
Royce O'Neale,SF,3.5,1.5,5.1
Chandler Hutchison,SF,4.2,0.8,5.2
Corey Brewer,SF,2,1.2,5.4
James Ennis,SF,3.3,0.5,5.5
C.J. Miles,SF,1.7,0.6,5.5
Torrey Craig,SF,3.6,0.9,5.7
Troy Williams,SF,3.1,0.6,5.7
Andre Iguodala,SF,3.8,3.2,5.8
Sam Dekker,SF,3,0.9,5.9
Kenrich Williams,SF,4.8,1.6,5.9
Justin Jackson,SF,1.8,0.5,6
Chandler Parsons,SF,2.7,1.5,6.2
Omri Casspi,SF,3.2,0.7,6.3
C.J. Miles,SF,1.8,0.7,6.4
Justin Jackson,SF,2.5,1.1,6.5
Justin Jackson,SF,2.8,1.3,6.7
Stanley Johnson,SF,3.3,1.3,6.7
Bruno Caboclo,SF,4,1.2,6.8
James Ennis,SF,3,0.6,6.9
OG Anunoby,SF,3,0.7,7.1
Miles Bridges,SF,3.9,1,7.1
Luol Deng,SF,3.3,0.8,7.1
Doug McDermott,SF,1.4,0.8,7.1
Derrick Jones,SF,4.1,0.6,7.2
Maurice Harkless,SF,4.3,1.2,7.3
Vince Carter,SF,2.5,1.1,7.4
James Ennis,SF,2.9,0.7,7.4
Dorian Finney-Smith,SF,4.7,1.1,7.4
Jake Layman,SF,3.1,0.7,7.4
Dillon Brooks,SF,1.7,0.9,7.5
Stanley Johnson,SF,3.6,1.3,7.5
Corey Brewer,SF,2.4,1.4,7.6
Kyle Anderson,SF,5.8,3,8
Mikal Bridges,SF,3.2,2.1,8.1
Mario Hezonja,SF,3.8,1.2,8.1
Darius Miller,SF,1.9,2.1,8.3
Rodions Kurucs,SF,3.8,0.8,8.7
Rondae Hollis-Jefferson,SF,5,1.6,8.8
C.J. Miles,SF,2.1,1.1,9.3
Trevor Ariza,SF,5.6,3.3,9.9
Nicolas Batum,SF,5.3,3.4,9.9
Danuel House,SF,3.8,0.9,9.9
DeMarre Carroll,SF,5.3,1.3,11.3
Robert Covington,SF,5.2,1.1,11.3
Joe Ingles,SF,3.9,5.4,11.9
